,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
27061,,2023-04-01 00:00:05,2023-04-01 00:12:03,,,,,221,172,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:53:50,,2.445,718.0,11.61,0.0,0.35,1.03,0.0,0.0,15.44,N,N,N,N,N
1435,2,2023-04-01 00:00:06,2023-04-01 00:13:18,6,5.04,1,N,141,79,1,22.6,1.0,0.5,5.52,0.0,1.0,33.12,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
4250,2,2023-04-01 00:00:06,2023-04-01 00:13:46,1,2.42,1,N,148,170,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
23692,,2023-04-01 00:00:06,2023-04-01 00:16:37,,,,,161,87,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:59:07,2023-03-31 23:59:37,5.13,991.0,24.52,0.0,0.72,2.18,0.0,2.96,21.45,N,N, ,N,N
28689,,2023-04-01 00:00:06,2023-04-01 00:11:54,,,,,209,65,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:26,2023-03-31 23:59:08,2.38,708.0,13.55,0.0,0.41,1.2,0.0,0.0,14.42,N,N, ,N,N
8175,,2023-04-01 00:00:06,2023-04-01 00:02:55,,,,,242,185,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:45,2023-03-31 23:59:40,0.51,169.0,7.97,0.0,0.24,0.71,0.0,0.0,6.17,N,N, ,N,N
28843,,2023-04-01 00:00:06,2023-04-01 00:06:30,,,,,132,216,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:52:52,2023-03-31 23:59:22,2.86,384.0,10.9,0.0,0.4,1.19,2.5,1.5,7.37,N,N, ,N,N
4011,,2023-04-01 00:00:06,2023-04-01 00:06:48,,,,,80,80,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:48,,1.342,402.0,8.93,0.0,0.27,0.79,0.0,0.0,5.53,N,N,N,N,N
15089,,2023-04-01 00:00:06,2023-04-01 00:14:58,,,,,82,135,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:00,2023-03-31 23:58:12,5.16,892.0,19.62,0.0,0.59,1.74,0.0,0.0,15.2,N,N, ,N,N
22863,,2023-04-01 00:00:06,2023-04-01 00:12:14,,,,,246,161,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:08,2023-03-31 23:59:45,2.98,728.0,20.28,0.0,0.61,1.8,0.0,0.0,16.52,N,N, ,N,N
28528,,2023-04-01 00:00:06,2023-04-01 00:15:04,,,,,168,136,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:23,,4.805,898.0,19.34,0.0,0.58,1.72,0.0,0.0,14.73,N,N,N,N,N
7193,,2023-04-01 00:00:06,2023-04-01 00:13:04,,,,,177,61,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:50:47,2023-03-31 23:59:55,1.28,778.0,11.39,0.0,0.34,1.01,0.0,0.0,11.64,Y,Y, ,N,N
18038,,2023-04-01 00:00:06,2023-04-01 00:12:03,,,,,17,25,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:08,2023-03-31 23:59:04,2.19,717.0,14.96,0.0,0.45,1.33,0.0,0.0,14.54,N,N, ,N,N
