,VendorID,PUDatetime,DODatetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,type,airport_fee,Airport_fee
4452,2,2023-01-01 00:04:20,2023-01-01 00:09:43,N,1.0,237,161,1.0,0.69,7.2,1.0,0.5,0.0,0.0,,1.0,12.2,4.0,,2.5,yellow_taxi,0.0,
44,2,2023-01-01 00:04:25,2023-01-01 00:17:50,N,1.0,255,146,1.0,2.8,16.3,1.0,0.5,2.8,0.0,,1.0,21.6,1.0,1.0,0.0,green_taxi,,
4414,2,2023-01-01 00:04:25,2023-01-01 00:46:03,N,1.0,264,264,1.0,1.84,32.4,1.0,0.5,7.48,0.0,,1.0,44.88,1.0,,2.5,yellow_taxi,0.0,
626,1,2023-01-01 00:04:26,2023-01-01 00:24:03,N,1.0,142,42,1.0,5.8,26.8,3.5,0.5,0.0,0.0,,1.0,31.8,2.0,,2.5,yellow_taxi,0.0,
519,2,2023-01-01 00:04:28,2023-01-01 00:09:49,N,1.0,79,4,2.0,0.69,6.5,1.0,0.5,0.0,0.0,,1.0,11.5,1.0,,2.5,yellow_taxi,0.0,
4849,2,2023-01-01 00:04:29,2023-01-01 00:04:33,N,5.0,122,122,1.0,0.0,70.0,0.0,0.5,10.0,0.0,,1.0,81.5,1.0,,0.0,yellow_taxi,0.0,
4114,2,2023-01-01 00:04:32,2023-01-01 00:09:33,N,1.0,262,74,2.0,1.72,9.3,1.0,0.5,0.0,0.0,,1.0,14.3,2.0,,2.5,yellow_taxi,0.0,
17,1,2023-01-01 00:04:33,2023-01-01 00:19:22,N,1.0,113,255,1.0,4.5,20.5,3.5,0.5,4.0,0.0,,1.0,29.5,1.0,,2.5,yellow_taxi,0.0,
2479,1,2023-01-01 00:04:34,2023-01-01 00:10:46,N,1.0,239,236,1.0,1.1,7.9,3.5,0.5,2.55,0.0,,1.0,15.45,1.0,,2.5,yellow_taxi,0.0,
3454,2,2023-01-01 00:04:34,2023-01-01 00:09:15,N,1.0,113,107,3.0,0.93,7.2,1.0,0.5,2.44,0.0,,1.0,14.64,1.0,,2.5,yellow_taxi,0.0,
2749,1,2023-01-01 00:04:34,2023-01-01 00:17:32,N,1.0,125,186,1.0,1.6,12.8,3.5,0.5,3.0,0.0,,1.0,20.8,1.0,,2.5,yellow_taxi,0.0,
4344,2,2023-01-01 00:04:35,2023-01-01 00:20:28,N,1.0,132,177,1.0,8.39,34.5,1.0,0.5,7.4,0.0,,1.0,45.65,1.0,,0.0,yellow_taxi,1.25,
2813,2,2023-01-01 00:04:37,2023-01-01 00:11:03,N,1.0,249,90,1.0,1.36,8.6,1.0,0.5,0.0,0.0,,1.0,13.6,2.0,,2.5,yellow_taxi,0.0,
3296,2,2023-01-01 00:04:37,2023-01-01 00:18:24,N,1.0,79,236,1.0,4.13,19.1,1.0,0.5,4.82,0.0,,1.0,28.92,1.0,,2.5,yellow_taxi,0.0,
3755,2,2023-01-01 00:04:38,2023-01-01 00:22:58,N,1.0,186,236,2.0,2.99,19.1,1.0,0.5,0.0,0.0,,1.0,24.1,2.0,,2.5,yellow_taxi,0.0,
3896,1,2023-01-01 00:04:40,2023-01-01 00:09:15,N,1.0,79,114,3.0,0.8,6.5,3.5,0.5,1.0,0.0,,1.0,12.5,1.0,,2.5,yellow_taxi,0.0,
4681,2,2023-01-01 00:04:42,2023-01-01 00:13:09,N,1.0,142,239,3.0,1.13,10.0,1.0,0.5,0.0,0.0,,1.0,15.0,2.0,,2.5,yellow_taxi,0.0,
870,2,2023-01-01 00:04:43,2023-01-01 00:29:21,N,1.0,88,196,1.0,11.71,47.1,1.0,0.5,0.0,0.0,,1.0,52.1,2.0,,2.5,yellow_taxi,0.0,
416,2,2023-01-01 00:04:44,2023-01-01 00:20:05,N,1.0,237,107,1.0,2.47,15.6,1.0,0.5,6.18,0.0,,1.0,26.78,1.0,,2.5,yellow_taxi,0.0,
110,1,2023-01-01 00:04:45,2023-01-01 00:45:38,N,1.0,161,228,1.0,9.7,50.6,3.5,0.5,16.65,0.0,,1.0,72.25,1.0,,2.5,yellow_taxi,0.0,
4659,2,2023-01-01 00:04:51,2023-01-01 00:15:47,N,1.0,164,249,1.0,1.49,10.7,1.0,0.5,3.14,0.0,,1.0,18.84,1.0,,2.5,yellow_taxi,0.0,
4401,2,2023-01-01 00:04:52,2023-01-01 00:11:21,N,1.0,79,114,1.0,1.02,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
3670,2,2023-01-01 00:04:52,2023-01-01 00:11:00,N,1.0,161,236,1.0,2.29,10.7,1.0,0.5,3.14,0.0,,1.0,18.84,1.0,,2.5,yellow_taxi,0.0,
1998,2,2023-01-01 00:04:52,2023-01-01 00:18:02,N,1.0,142,75,1.0,3.38,16.3,1.0,0.5,6.39,0.0,,1.0,27.69,1.0,,2.5,yellow_taxi,0.0,
3138,2,2023-01-01 00:04:53,2023-01-01 00:19:17,N,1.0,43,246,1.0,2.75,16.3,1.0,0.5,4.26,0.0,,1.0,25.56,1.0,,2.5,yellow_taxi,0.0,
1169,2,2023-01-01 00:04:54,2023-01-01 00:20:29,N,1.0,249,246,3.0,2.04,15.6,1.0,0.5,2.0,0.0,,1.0,22.6,1.0,,2.5,yellow_taxi,0.0,
2879,1,2023-01-01 00:04:54,2023-01-01 00:22:57,N,1.0,138,244,1.0,9.4,37.3,7.25,0.5,10.5,6.55,,1.0,63.1,1.0,,0.0,yellow_taxi,1.25,
3206,2,2023-01-01 00:04:55,2023-01-01 00:10:20,N,1.0,142,239,1.0,0.87,7.2,1.0,0.5,2.44,0.0,,1.0,14.64,1.0,,2.5,yellow_taxi,0.0,
3170,2,2023-01-01 00:04:56,2023-01-01 00:35:58,N,1.0,158,145,1.0,5.64,31.7,1.0,0.5,7.34,0.0,,1.0,44.04,1.0,,2.5,yellow_taxi,0.0,
107,2,2023-01-01 00:04:56,2023-01-01 00:08:49,N,1.0,125,231,1.0,0.71,6.5,1.0,0.5,1.72,0.0,,1.0,13.22,1.0,,2.5,yellow_taxi,0.0,
